S_No,Zone_Name,Road_Name,Road_Category,Zone_Type,Simple_Accidents,Fatal_Accidents,Total_Accidents,Fatality_Rate,Severity_Level,Is_Pedestrian_Zone,Is_Two_Wheeler_Zone,Is_Cyclist_Zone,Is_HTV_Zone,Is_Hit_And_Run_Zone,Is_Daytime_Zone,Is_Nighttime_Zone
49,SURAJMAL METRO STATION,ROHTAK ROAD,ROHTAK ROAD,METRO STATION,4,4,8,0.5,HIGH,0,0,0,0,1,0,1
50,SINGHU BORDER,GTK ROAD,GTK ROAD,HIGHWAY VILLAGE,4,4,8,0.5,HIGH,0,0,0,0,0,0,1
51,ITI DHEERPUR,OUTER RING ROAD,OUTER RING ROAD,ROAD STRETCH,4,4,8,0.5,HIGH,0,1,0,0,0,0,0
52,WAZIR PUR DEPOT,RING ROAD,RING ROAD,BUS-STAND,4,4,8,0.5,HIGH,0,0,0,0,1,0,0
53,SANTOM HOSPITAL OUTER RING ROAD,OUTER RING ROAD,OUTER RING ROAD,HOSPITAL,3,4,7,0.571,HIGH,0,0,0,0,0,0,0
54,GURUDWARA BANGLA SAHIB,BKS MARG,OTHER,ROAD STRETCH,3,4,7,0.571,HIGH,1,0,0,0,0,0,1
55,BUDHPUR GANDA NALA/HANUMAN MANDIR,GTK ROAD,GTK ROAD,HIGHWAY VILLAGE,2,4,6,0.667,HIGH,1,0,0,0,0,0,0
56,SHAMSHAN GHAT PUNJABI BAGH,RING ROAD,RING ROAD,ROAD STRETCH,2,4,6,0.667,HIGH,0,0,0,0,1,0,1
57,MODI MILL FLYOVER,OUTER RING ROAD,OUTER RING ROAD,FLYOVER,0,4,4,1.0,HIGH,0,0,0,0,0,0,0
58,SHASTRI NAGAR METRO STATION,VIR BANDA BAIRAGI MARG,OTHER,METRO STATION,15,3,18,0.167,MEDIUM,0,0,0,0,0,0,0
59,CHIRAG DELHI FLYOVER,JOSEF BRIJ TITO MARG,OTHER,FLYOVER,12,3,15,0.2,MEDIUM,0,0,0,0,1,0,1
60,TOLL PLAZA BADARPUR,MATHURA ROAD,MATHURA ROAD,HIGHWAY VILLAGE,10,3,13,0.231,MEDIUM,0,1,0,0,0,0,0
61,SEELAMPUR T POINT,G.T.ROAD,GT ROAD,T-INTERSECTION,10,3,13,0.231,MEDIUM,0,0,0,0,1,1,1
62,SHYAM LAL COLLEGE,G.T.ROAD,GT ROAD,ROAD STRETCH,10,3,13,0.231,MEDIUM,0,0,0,0,0,1,0
63,UNDER PASS GAJIPUR,NH-24,NATIONAL HIGHWAY,FLYOVER,10,3,13,0.231,MEDIUM,0,0,0,0,1,0,0
64,OKHLA MORE,MEHRAULI BADARPUR RD,MEHRAULI BADARPUR ROAD,INTERSECTION,9,3,12,0.25,MEDIUM,0,0,0,1,0,0,0
65,METRO STATION INDERLOK,VIR BANDA BAIRAGI MARG,OTHER,METRO STATION,8,3,11,0.273,MEDIUM,0,0,0,0,0,1,0
66,KAKROLA DWARKA MORE,NAJAFGARH ROAD,NAJAFGARH ROAD,ROAD STRETCH,8,3,11,0.273,MEDIUM,0,0,1,0,0,0,0
67,ASHRAM CHOWK,RING ROAD,RING ROAD,INTERSECTION,7,3,10,0.3,MEDIUM,0,0,0,0,1,0,1
68,AZADPUR SABZI MANDI,GTK ROAD,GTK ROAD,INTERSECTION,7,3,10,0.3,MEDIUM,1,0,0,1,0,0,0
69,HYAAT HOTEL,RING ROAD,RING ROAD,ROAD STRETCH,7,3,10,0.3,MEDIUM,0,0,0,0,1,0,1
70,PREPAID BOOTH MUKARBA CHOWK,OUTER RING ROAD,OUTER RING ROAD,EXCHANGE HUB,7,3,10,0.3,MEDIUM,0,0,0,0,0,0,0
71,ESI HOSPITAL RING ROAD,RING ROAD,RING ROAD,HOSPITAL,6,3,9,0.333,MEDIUM,0,0,0,0,0,0,0
72,"ESI HOSPITAL, ANAND MAI MARG",ANAND MAI MARG,OTHER,HOSPITAL,6,3,9,0.333,MEDIUM,0,0,0,0,1,0,0
73,KIRARI MORE,ROHTAK ROAD,ROHTAK ROAD,T-INTERSECTION,6,3,9,0.333,MEDIUM,0,0,0,0,1,0,0
74,MURGA MANDI FLYOVER,NH-24,NATIONAL HIGHWAY,FLYOVER,6,3,9,0.333,MEDIUM,0,0,0,0,1,0,0
75,TARA APARTMENT,RAVIDAS MARG,OTHER,ROAD STRETCH,6,3,9,0.333,MEDIUM,1,0,0,0,0,0,0
76,RAJOUKARI FLYOVER,NH-8,NATIONAL HIGHWAY,FLYOVER,6,3,9,0.333,MEDIUM,0,0,0,0,1,0,0
77,OUTER CIRCLE CP NEAR MINTO ROAD,OUTER CIRCLE CP,OTHER,ROUND ABOUT,6,3,9,0.333,MEDIUM,0,0,0,0,0,0,0
78,BRITANNIA CHOWK,RING ROAD,RING ROAD,INTERSECTION,6,3,9,0.333,MEDIUM,0,0,0,0,0,0,0
79,METRO STATION KRISHNA NAGAR,ROAD NO 57,OTHER,METRO STATION,6,3,9,0.333,MEDIUM,0,0,0,0,0,0,0
